uuid_c,net_desks_closedlost,date
e38ec6c1-4f77-4f6d-8a77-315e6303ab36,0.0,2018-08-01
72bbd170-5615-47e0-9768-6bbfbcee0c28,0.0,2018-08-01
fd1ddab2-d2e0-40b0-9165-b92f1e113bbf,0.0,2018-08-01
e7604ca8-ce7f-4701-b344-e066d526fc18,0.0,2018-08-01
d3f6c57f-7fa2-4e1c-81e5-4381463420f0,0.0,2018-08-01
9633abb0-7c4f-0135-cb89-0242ac11570b,-2.0,2018-08-01
42307ed7-e342-4c79-874e-823309fa2403,0.0,2018-08-01
631d5eb0-4464-0136-8c7b-0242ac116709,0.0,2018-08-01
2a9f6d5f-1996-4f09-9d63-d421e9a0b54e,0.0,2018-08-01
ee19ea30-f74f-0135-083e-0242ac11210f,0.0,2018-08-01
b3284cd0-51e4-0136-bcea-0242ac111508,0.0,2018-08-01
b47f5bc3-1a22-488f-bdb1-4961f8f0ab8e,0.0,2018-08-01
028baf80-9c65-0135-5172-0242ac111508,0.0,2018-08-01
6ceb44c0-4853-0135-5276-0242ac11130b,0.0,2018-08-01
7a0c09d0-7ad9-0135-623c-0242ac112c08,0.0,2018-08-01
e51fbed1-a2e1-4c4c-8357-21f8bb026c09,0.0,2018-08-01
8ef68676-92fe-418e-bab5-e4137bf21f7c,0.0,2018-08-01
dcdb57a8-fe80-4936-9a3f-b7eff6e43975,0.0,2018-08-01
f3620bc0-51e3-0136-3d36-0242ac112107,0.0,2018-08-01
dfece198-5655-4d5c-9d68-9a627ff37c2c,0.0,2018-08-01
0069c467-7432-408a-b8b9-5716ee7bbfeb,0.0,2018-08-01
87a272d0-2ab4-0136-20ae-0242ac11510c,0.0,2018-08-01
06d749c0-054c-0136-14ee-0242ac111c0a,0.0,2018-08-01
2014e6e0-22ea-0135-b30d-0242ac115b0a,0.0,2018-08-01
82ef4fb4-c41e-4d5f-84cd-9b6deb598759,0.0,2018-08-01
845423e0-4440-0136-7ddf-0242ac114a0f,0.0,2018-08-01
5c52ea00-7f4d-0134-8a22-2e935648bcf4,0.0,2018-08-01
96bbc387-bafd-4ed8-b21f-52bc2a2859cc,0.0,2018-08-01
6ecd30ff-c791-43f4-afe7-72b44ee0fc2c,3.0,2018-08-01
a3bd8878-9c50-4640-9407-b56e273d3ec0,0.0,2018-08-01
fceed27e-61f7-410c-b9d1-1cfbb28e4015,0.0,2018-08-01
57916e00-88b3-0136-1def-0242ac114a0f,0.0,2018-08-01
cb72e394-ed45-4cf5-8951-0262763aed98,-3.0,2018-08-01
ae3cd545-868b-47ed-bbcd-77feb4637253,-23.0,2018-08-01
69331ec0-2ffc-0136-2fed-0242ac112c0e,0.0,2018-08-01
fbd72672-24b7-4a63-af0a-590a46987658,0.0,2018-08-01
82a46450-49d2-0135-8af1-0242ac113a10,0.0,2018-08-01
7b778030-f1b3-0134-31dc-0242ac112c08,0.0,2018-08-01
dacbd2be-7b82-4669-8f89-7de022946f04,0.0,2018-08-01
1dbbe8ae-7d18-4deb-8289-cb1f9e95c5a4,0.0,2018-08-01
16e211e7-8326-4e7e-a8e6-0e0c74dcd2ec,0.0,2018-08-01
427f78d0-09dd-499c-b63c-bffeecec417b,0.0,2018-08-01
2c6ca5fc-b4aa-48e3-bc5e-c3c337e7f8aa,0.0,2018-08-01
f0938500-65ff-0136-f633-0242ac111c07,0.0,2018-08-01
cccf1bb2-1113-4233-93c4-cc277ae0806b,0.0,2018-08-01
113f8203-4711-447f-bf1b-68e651444b33,0.0,2018-08-01
656c1d86-4dbf-476d-964b-d342c2d34a62,0.0,2018-08-01
d811dd1d-603b-40b7-93c0-638495b67485,0.0,2018-08-01
44e0197b-46f4-4232-a31f-01bd64cde5d1,0.0,2018-08-01
5810c330-4479-0135-98da-0242ac113a0a,0.0,2018-08-01
e01c5eab-f0e8-46e1-93f0-bcbb14bc15ec,0.0,2018-08-01
054d7442-1cba-46be-8723-b6e012552d6c,0.0,2018-08-01
3972fb88-fea0-46f6-8542-5fb3cf5db28e,1.0,2018-08-01
3dffce50-1755-4bed-8118-8a35cf26fcd7,0.0,2018-08-01
dd0b7b30-6078-452d-8e81-a7f3d7595523,0.0,2018-08-01
afe19350-130d-0135-577f-0242ac110907,0.0,2018-08-01
6765b590-ba41-0134-db6f-0242ac113508,2.0,2018-08-01
e0e75030-79fc-0135-c4ad-0242ac115114,0.0,2018-08-01
2a35400d-e8a3-4d79-9f3d-f5257335d286,0.0,2018-08-01
58f6ea74-d8c7-43fc-86b0-056cd53aed02,0.0,2018-08-01
c105e220-e275-0135-431e-0242ac114a09,0.0,2018-08-01
acc634d0-31ce-0136-0bec-0242ac111c08,0.0,2018-08-01
77333c30-6769-4fb6-87b0-b62a063e4092,0.0,2018-08-01
2a2e7320-46dc-0136-7a0c-0242ac11560c,0.0,2018-08-01
4e128823-ee41-4e1d-8cb1-25bdb78dff38,0.0,2018-08-01
0e84c853-05c2-4c7d-8bbf-bb5ee5dc82ac,0.0,2018-08-01
579f6720-e6ea-0135-a960-0242ac116708,0.0,2018-08-01
52a04800-6746-0136-e508-0242ac115709,1.0,2018-08-01
eba8d920-8aab-0135-e6fd-0242ac115608,0.0,2018-08-01
7557f2c6-7bb3-4293-abce-1cde7f861880,0.0,2018-08-01
b0e562b0-f6db-0134-c3d9-0242ac11090a,0.0,2018-08-01
9bb79c20-1697-0136-b0b0-0242ac112111,0.0,2018-08-01
dca89bcb-0047-4376-af81-95cb4c07a710,-1.0,2018-08-01
6201e2bc-32ed-459b-8c8b-3d1b8102d92b,0.0,2018-08-01
66f70831-05e0-4047-9d93-6cd933519e4c,0.0,2018-08-01
e8f541c0-79f4-0136-7a30-0242ac112112,0.0,2018-08-01
f8744a80-2acd-0136-398c-0242ac114a07,0.0,2018-08-01
f1044c61-7b31-4751-b763-370b4022f465,0.0,2018-08-01
f59352b2-0037-4664-b7fe-9573330662f0,0.0,2018-08-01
057b3014-8044-40e8-b8df-e1d732c7e605,0.0,2018-08-01
f28572cf-7782-4517-82ae-65cc84ec8dc3,0.0,2018-08-01
d00f4e30-3fbc-4f16-a1e3-31c2461c855f,0.0,2018-08-01
d4e1d930-fcd0-0135-6c7a-0242ac112c0c,0.0,2018-08-01
39953e74-93e8-4837-a508-6c6b1e2a4ac5,0.0,2018-08-01
d0e2a0c0-02ba-0136-4c1a-0242ac115709,0.0,2018-08-01
